date,active_by_entry_date,not_yet_added,total_with_known_entry,not_yet_added_fraction
2010-04-01,274,194,468,0.41452991452991456
2010-07-01,275,193,468,0.41239316239316237
2010-10-01,277,191,468,0.4081196581196581
2011-01-01,280,188,468,0.4017094017094017
2011-04-01,281,187,468,0.3995726495726496
2011-07-01,285,183,468,0.391025641025641
2011-10-01,287,181,468,0.38675213675213677
2012-01-01,290,178,468,0.3803418803418803
2012-04-01,291,177,468,0.3782051282051282
2012-07-01,295,173,468,0.3696581196581197
2012-10-01,298,170,468,0.36324786324786323
2013-01-01,304,164,468,0.3504273504273504
2013-04-01,304,164,468,0.3504273504273504
2013-07-01,307,161,468,0.344017094017094
2013-10-01,311,157,468,0.33547008547008544
2014-01-01,314,154,468,0.32905982905982906
2014-04-01,315,153,468,0.3269230769230769
2014-07-01,318,150,468,0.32051282051282054
2014-10-01,321,147,468,0.3141025641025641
2015-01-01,322,146,468,0.31196581196581197
2015-04-01,326,142,468,0.3034188034188034
2015-07-01,328,140,468,0.29914529914529914
2015-10-01,332,136,468,0.2905982905982906
2016-01-01,336,132,468,0.28205128205128205
2016-04-01,344,124,468,0.26495726495726496
2016-07-01,352,116,468,0.24786324786324787
2016-10-01,355,113,468,0.24145299145299146
2017-01-01,357,111,468,0.23717948717948717
2017-04-01,366,102,468,0.21794871794871795
2017-07-01,370,98,468,0.2094017094017094
2017-10-01,378,90,468,0.19230769230769232
2018-01-01,379,89,468,0.19017094017094016
2018-04-01,381,87,468,0.1858974358974359
2018-07-01,385,83,468,0.17735042735042736
2018-10-01,388,80,468,0.17094017094017094
2019-01-01,392,76,468,0.1623931623931624
2019-04-01,394,74,468,0.1581196581196581
2019-07-01,397,71,468,0.1517094017094017
2019-10-01,403,65,468,0.1388888888888889
2020-01-01,410,58,468,0.12393162393162394
2020-04-01,411,57,468,0.12179487179487179
2020-07-01,416,52,468,0.1111111111111111
2020-10-01,417,51,468,0.10897435897435898
2021-01-01,419,49,468,0.1047008547008547
2021-04-01,425,43,468,0.09188034188034189
2021-07-01,427,41,468,0.0876068376068376
2021-10-01,430,38,468,0.0811965811965812
2022-01-01,432,36,468,0.07692307692307693
2022-04-01,434,34,468,0.07264957264957266
2022-07-01,438,30,468,0.0641025641025641
2022-10-01,439,29,468,0.06196581196581197
2023-01-01,445,23,468,0.049145299145299144
2023-04-01,448,20,468,0.042735042735042736
2023-07-01,450,18,468,0.038461538461538464
2023-10-01,451,17,468,0.03632478632478633
2024-01-01,455,13,468,0.027777777777777776
2024-04-01,457,11,468,0.023504273504273504
2024-07-01,459,9,468,0.019230769230769232
2024-10-01,461,7,468,0.014957264957264958
2025-01-01,465,3,468,0.00641025641025641
2025-04-01,467,1,468,0.002136752136752137
2025-07-01,467,1,468,0.002136752136752137
2025-10-01,468,0,468,0.0
2026-01-01,468,0,468,0.0
