Ticker,Correlation,Sector
AMZN,0.7542819451160515,Consumer Discretionary
NVDA,0.7447418593622676,Information Technology
MSFT,0.7285576515523023,Information Technology
GOOG,0.7277666886075079,Communication Services
GOOGL,0.7229182429763747,Communication Services
APH,0.7200523519960954,Information Technology
ADI,0.7150168795558666,Information Technology
MPWR,0.7077057251765494,Information Technology
QCOM,0.7052997950752043,Information Technology
TROW,0.6987401516815588,Financials
GS,0.6981885805020294,Financials
AAPL,0.6952817598144254,Information Technology
AMAT,0.6948039789625942,Information Technology
PH,0.6941416107258257,Industrials
MS,0.6861453285801,Financials
NXPI,0.681556158057272,Information Technology
TEL,0.6752501955906814,Information Technology
APO,0.6740069453206196,Financials
META,0.673430931532304,Communication Services
AXP,0.6684384852514241,Financials
MU,0.6642422494719462,Information Technology
AMD,0.6609306737432814,Information Technology
MCHP,0.657955340871451,Information Technology
TSLA,0.6540223529292715,Consumer Discretionary
C,0.6445001512221036,Financials
HUBB,0.6420574251964829,Industrials
ZBRA,0.6306146090431604,Information Technology
TER,0.6302594591704115,Information Technology
NTAP,0.6279923464806018,Information Technology
AMP,0.6268354145225666,Financials
FTV,0.6230665366772399,Industrials
ANET,0.6201117855227221,Information Technology
SYF,0.6198976549836706,Financials
CMI,0.6193773898278423,Industrials
HPE,0.6176391023118529,Information Technology
ON,0.616620220592448,Information Technology
IR,0.6125693674338163,Industrials
PWR,0.6088456688126624,Industrials
DELL,0.6064606895980024,Information Technology
RL,0.6057383872225399,Consumer Discretionary
TXN,0.6050202276230919,Information Technology
MCO,0.6045504153488462,Financials
HLT,0.6044417002829183,Consumer Discretionary
RCL,0.5995973519462919,Consumer Discretionary
CRWD,0.5983782639292959,Information Technology
PANW,0.5982611571098949,Information Technology
PNR,0.596723493159047,Industrials
CSCO,0.592701788573956,Information Technology
GE,0.5920320610093401,Industrials
STT,0.5915380565185826,Financials
GLW,0.5905382171413447,Information Technology
DAL,0.5885821051732334,Industrials
TT,0.5884798702550171,Industrials
ROK,0.5874970873406601,Industrials
HWM,0.5872116136872197,Industrials
PFG,0.5871739592345788,Financials
GEV,0.5869988752436966,Industrials
ABNB,0.5848172045851086,Consumer Discretionary
PRU,0.5845919506780182,Financials
NTRS,0.5831166425211514,Financials
HST,0.5829651354742817,Real Estate
CPAY,0.5793030928359987,Financials
PLTR,0.5756032656187341,Information Technology
SWKS,0.5738101309801982,Information Technology
NDAQ,0.572146723198411,Financials
FCX,0.5714967649446719,Materials
GEHC,0.5707093196775922,Health Care
MET,0.5703901719027047,Financials
ADSK,0.5702214117369113,Information Technology
HBAN,0.5698847731974911,Financials
CFG,0.5674782967121503,Financials
COIN,0.5665848530612034,Financials
NOW,0.5652564038900694,Information Technology
NWSA,0.5636409953545218,Communication Services
RJF,0.5635324553806494,Financials
NDSN,0.5612289081503676,Industrials
NWS,0.5564248157887366,Communication Services
NRG,0.5537275745828057,Utilities
PNC,0.5530908535036937,Financials
RF,0.5520490925304298,Financials
MGM,0.5468970437024488,Consumer Discretionary
NCLH,0.5466589891199685,Consumer Discretionary
TXT,0.5422719574194179,Industrials
STX,0.5335088848005441,Information Technology
CEG,0.5299579765955057,Utilities
SPG,0.5291861584631261,Real Estate
PTC,0.5286053969406196,Information Technology
MA,0.5271111918306227,Financials
STLD,0.5244488050531902,Materials
PYPL,0.5240406157671672,Financials
A,0.5190405689374309,Health Care
CTSH,0.5169942258742779,Information Technology
SWK,0.5141169853863301,Industrials
AME,0.5115457415691883,Industrials
SNPS,0.5110757229357031,Information Technology
DLR,0.51106698996213,Real Estate
CRM,0.5080946481820953,Information Technology
IEX,0.5070711419423641,Industrials
DDOG,0.5036912882462437,Information Technology
ITW,0.5034593103572945,Industrials
SPGI,0.502833325322424,Financials
APTV,0.496477102802156,Consumer Discretionary
MLM,0.4953443309186421,Materials
PPG,0.49499798234722775,Materials
ORCL,0.4945793982831012,Information Technology
MTD,0.49454044552180576,Health Care
NFLX,0.4920779792169781,Communication Services
NUE,0.49005384428777243,Materials
ROP,0.48791876210967816,Information Technology
BEN,0.4874335141629752,Financials
TPR,0.4852588708048797,Consumer Discretionary
SYK,0.48477333799573696,Health Care
HPQ,0.48446939217118684,Information Technology
SLB,0.48171086998560236,Energy
GNRC,0.47465072100123334,Industrials
HON,0.4745751493883249,Industrials
GRMN,0.4726797045063421,Consumer Discretionary
LUV,0.47222613113690803,Industrials
TDY,0.4708027898190451,Information Technology
TRGP,0.46856775871955886,Energy
INTC,0.4672839272935701,Information Technology
DAY,0.4667329725906285,Industrials
SNA,0.46436121981880063,Industrials
MMM,0.46232535577185147,Industrials
GPN,0.4617495734115947,Financials
ALB,0.46120423216813405,Materials
PLD,0.4596937487629436,Real Estate
OKE,0.4595051004560953,Energy
RVTY,0.45903214526338093,Health Care
ADBE,0.45802184136300494,Information Technology
DECK,0.45390377858514885,Consumer Discretionary
TDG,0.45144752191316123,Industrials
DVN,0.4513486054065387,Energy
PCAR,0.4510201856482073,Industrials
SW,0.4508177235052371,Materials
ROST,0.44987666780647617,Consumer Discretionary
HAL,0.4493255343290173,Energy
PKG,0.4454170708985528,Materials
PSX,0.44173128343881307,Energy
MAS,0.4393472597314158,Industrials
FANG,0.4384489956360395,Energy
DHR,0.43819840922310793,Health Care
GEN,0.43684760877510287,Information Technology
NSC,0.4341178844560692,Industrials
SHW,0.43046587811673276,Materials
GDDY,0.42940394999313947,Information Technology
CSX,0.4287795206851573,Industrials
COST,0.42568176252126405,Consumer Staples
APA,0.4241982104042488,Energy
AKAM,0.4229569885789518,Information Technology
CSGP,0.4196523555970185,Real Estate
HAS,0.41798781168718746,Consumer Discretionary
IDXX,0.41658296914841364,Health Care
ODFL,0.41583691042533366,Industrials
CTAS,0.41226222971497367,Industrials
SMCI,0.4112391539930007,Information Technology
CPRT,0.41070946412648135,Industrials
TMO,0.4094227406077693,Health Care
MHK,0.4077494684315817,Consumer Discretionary
ALGN,0.4070233068818285,Health Care
TJX,0.4053420148284476,Consumer Discretionary
FOX,0.40380579264812744,Communication Services
TPL,0.4034551134202101,Energy
HD,0.40341397599396495,Consumer Discretionary
FTNT,0.4026044782878018,Information Technology
ACN,0.4017769959337536,Information Technology
MSCI,0.40026396880514986,Financials
IBM,0.39964447455010504,Information Technology
OXY,0.3986097687857186,Energy
DE,0.3960353136505539,Industrials
FOXA,0.3957836009611798,Communication Services
IT,0.39289638685319084,Information Technology
COP,0.3924148974536534,Energy
TTWO,0.38932926611859303,Communication Services
SBUX,0.38656633639562205,Consumer Discretionary
GM,0.38634182527358735,Consumer Discretionary
MSI,0.38372801321156735,Information Technology
ALLE,0.38188372404150756,Industrials
PAYC,0.37977107323932036,Industrials
GD,0.37845399289818965,Industrials
TKO,0.37841286948777636,Communication Services
ADP,0.37613432336508074,Industrials
CMG,0.37562936522263557,Consumer Discretionary
CTRA,0.3741239970689979,Energy
TTD,0.37375279296730085,Communication Services
OMC,0.3709473484817615,Communication Services
AIZ,0.3703412010702388,Financials
APD,0.37002919517434824,Materials
SOLV,0.3684589761229376,Health Care
MTCH,0.36594306818002853,Communication Services
NKE,0.36430708087691455,Consumer Discretionary
PODD,0.3613429087685165,Health Care
CTVA,0.3565716662254428,Materials
TGT,0.35611254801655806,Consumer Staples
PEG,0.34934537483342476,Utilities
AIG,0.344203409601931,Financials
AOS,0.34399668967831587,Industrials
RMD,0.34339729234106375,Health Care
REG,0.341407854108044,Real Estate
AES,0.3397580581360735,Utilities
PHM,0.3363333194266444,Consumer Discretionary
PAYX,0.32623290661204274,Industrials
CINF,0.3253148383532682,Financials
MRNA,0.3246543898437797,Health Care
POOL,0.3245194104413625,Consumer Discretionary
SRE,0.31750375970910805,Utilities
DRI,0.3171077576594084,Consumer Discretionary
COO,0.31442034771381266,Health Care
CMCSA,0.3136541677336386,Communication Services
DOC,0.312840352874746,Real Estate
ARE,0.31019313657069114,Real Estate
STE,0.3094672346837424,Health Care
ZTS,0.3031406002665971,Health Care
TSCO,0.29912946338009083,Consumer Discretionary
RTX,0.2913363375054636,Industrials
OTIS,0.2889162082438949,Industrials
NVR,0.2848152289011375,Consumer Discretionary
HSIC,0.2762736759917142,Health Care
HIG,0.27626851031532956,Financials
AFL,0.27363645682674403,Financials
INCY,0.26984522097445146,Health Care
MOS,0.2661343449231021,Materials
AMCR,0.2649291606914972,Materials
REGN,0.26487682470094526,Health Care
MAA,0.2595560990189498,Real Estate
MDT,0.25794922572877627,Health Care
PCG,0.2516576159812704,Utilities
AMGN,0.2508443148784321,Health Care
NI,0.2508074556708898,Utilities
GPC,0.24991060473180657,Consumer Discretionary
DXCM,0.22882455831120688,Health Care
HII,0.22694109200314358,Industrials
PSA,0.22121350133493117,Real Estate
NEM,0.21905775600927302,Materials
ACGL,0.21113145838763087,Financials
PFE,0.2096598828835192,Health Care
RSG,0.20857376086296267,Industrials
STZ,0.20535717652448987,Consumer Staples
MMC,0.20489849465477042,Financials
DVA,0.2003240221963622,Health Care
ALL,0.1926577925496921,Financials
DLTR,0.18999998378095484,Consumer Staples
ROL,0.18849638406402489,Industrials
SYY,0.17364838407650832,Consumer Staples
MNST,0.16443387878093063,Consumer Staples
AON,0.1604112318409983,Financials
ZBH,0.15363516468237837,Health Care
ABBV,0.15164842131975792,Health Care
GILD,0.15112228605912353,Health Care
MRK,0.14967945425534904,Health Care
ADM,0.14692421481570372,Consumer Staples
TAP,0.14585592654946275,Consumer Staples
NEE,0.14406988403520607,Utilities
AJG,0.1434524724182982,Financials
PSKY,0.1346906524704119,Communication Services
DGX,0.13415177384233792,Health Care
HCA,0.13394398395182172,Health Care
TMUS,0.12971680698101717,Communication Services
HOLX,0.12709706236582996,Health Care
MCD,0.12628218189087212,Consumer Discretionary
MKC,0.12503265557895685,Consumer Staples
ORLY,0.11557198103853944,Consumer Discretionary
PGR,0.11286308800372477,Financials
HUM,0.11149951726996019,Health Care
CVS,0.1108764717941629,Health Care
GL,0.10640202728077765,Financials
CB,0.10396031421334229,Financials
ABT,0.08868310247424033,Health Care
PNW,0.08221928633071364,Utilities
LNT,0.08148114436895221,Utilities
O,0.07975787133813758,Real Estate
ATO,0.07464313627088262,Utilities
AEE,0.06384704426064579,Utilities
CLX,0.06114451678097938,Consumer Staples
PPL,0.05903532162810185,Utilities
SJM,0.04191833957287012,Consumer Staples
MCK,0.02894379531471907,Health Care
MOH,0.015102978237574997,Health Care
PG,0.01189637068301519,Consumer Staples
CI,0.010931389139143518,Health Care
MDLZ,0.008250074909098487,Consumer Staples
PEP,0.002778464042145192,Consumer Staples
PM,-0.0069881925154465134,Consumer Staples
HRL,-0.007821374516049475,Consumer Staples
SBAC,-0.008526960436688545,Real Estate
HSY,-0.015513867918069645,Consumer Staples
CCI,-0.022205044475918485,Real Estate
DG,-0.03039042672896531,Consumer Staples
NOC,-0.031403295861751605,Industrials
CAG,-0.031405871013495894,Consumer Staples
T,-0.03455261981789166,Communication Services
KO,-0.03960659451906985,Consumer Staples
CMS,-0.04783816261680445,Utilities
CL,-0.048926418656612,Consumer Staples
CHD,-0.055239650290398803,Consumer Staples
AEP,-0.06522473729417842,Utilities
SO,-0.08852580782457892,Utilities
AMT,-0.08972562970870243,Real Estate
MO,-0.09586587654568836,Consumer Staples
GIS,-0.10129284869356474,Consumer Staples
CME,-0.13314971957772237,Financials
AWK,-0.18322055728852601,Utilities
ED,-0.23463043510732975,Utilities
