K,Model,Return,Tracking_Error,Sharpe,Max_Drawdown,Avg_Correlation
50,Stratified Sampling,40.248887628007225,0.021807193551539622,1.06562238895248,-24.409035407216823,0.5886063753019907
50,Clustering,41.822954356598686,0.024109047073125833,1.1130440061216678,-23.465646407759692,0.5368096068858662
50,Correlation Ranking,49.28943334404303,0.028317083321635354,1.2020514627021373,-24.97520557474872,0.6527861321314478
75,Stratified Sampling,40.764489625567045,0.01659488608488474,1.081204904559365,-23.878318053253793,0.5724315159605133
75,Clustering,43.87048438590839,0.0199389337150986,1.1578659446450095,-22.642494985189447,0.5187697400048771
75,Correlation Ranking,47.13996573191712,0.025819062504777276,1.1691303106336135,-24.552035319282073,0.6276178390186402
100,Stratified Sampling,40.5833271923622,0.015072490255091484,1.0805055645959214,-24.00093425037747,0.5440109791724226
100,Clustering,42.81015065339149,0.010038413136306214,1.133060963299704,-23.262265188938006,0.5037468083123525
100,Correlation Ranking,44.94151188867019,0.020246807032090024,1.1455299282111302,-24.35231532266114,0.602867028140397
125,Stratified Sampling,41.779983511523454,0.012276047566395526,1.1103754696538077,-23.647477667568346,0.5227233525698028
125,Clustering,43.353528129711094,0.00883142191930767,1.144971245503845,-23.106118976592953,0.48692427718916237
125,Correlation Ranking,42.664168311531014,0.0159643027282929,1.1100334349149064,-24.203742046215847,0.578521018187422
150,Stratified Sampling,43.397183554746,0.00935244625468377,1.147583514640035,-23.319322470210263,0.5036759052527096
150,Clustering,43.39149479504947,0.007509126451753027,1.1473270320885864,-23.099774283534188,0.47299077712620174
150,Correlation Ranking,42.91954503070286,0.013083471696612486,1.1222488010065412,-24.03529338520663,0.5560394612072912
175,Stratified Sampling,45.30757603783941,0.00700265001765187,1.1872584990756117,-22.89451889308352,0.4878362791376232
175,Clustering,44.45924990528396,0.006000650655859409,1.169220189606296,-22.77795818202682,0.4607148072651743
175,Correlation Ranking,43.9646227886672,0.010915730440618788,1.148902832821347,-23.437049972384845,0.5343218741508191
200,Stratified Sampling,45.07949497330088,0.005853557710323692,1.1837978268336404,-22.957386973670182,0.47348802267565665
200,Clustering,45.1517648071708,0.004861339695238728,1.1854062403246186,-22.7099067919673,0.4493784634978239
200,Correlation Ranking,43.76810862285383,0.008230210904768448,1.1509009108696602,-23.17210899019433,0.5132036131239245
